Time_sec,Freq_Hz,Swara
142.01,340.6,Ma2
142.29,366.8,Pa
142.32,104.8,Sa
142.36,340.6,Ma2
142.9,314.4,Ma1
143.03,288.2,Ga2
143.15,262.0,Ri1
143.2,340.6,Ma2
143.24,52.4,Sa
143.27,314.4,Ma1
143.34,52.4,Sa
143.87,393.0,Da2
143.96,183.4,Sa
143.99,602.6,Sa_high
144.17,183.4,Sa
144.22,576.4,Sa_high
144.24,157.2,Sa
144.57,366.8,Pa
144.61,393.0,Da2
144.64,419.2,Ni2
144.8,393.0,Da2
144.87,183.4,Sa
144.92,393.0,Da2
144.94,183.4,Sa
145.26,602.6,Sa_high
145.29,183.4,Sa
145.54,602.6,Sa_high
146.59,104.8,Sa
146.77,524.0,Sa_high
146.8,157.2,Sa
146.87,576.4,Sa_high
147.08,157.2,Sa
147.12,628.79,Sa_high
147.14,104.8,Sa
147.28,497.8,Sa_high
147.31,78.6,Sa
147.93,628.79,Sa_high
147.98,131.0,Sa
151.35,314.4,Ma1
151.44,1663.33,Sa_high
151.51,131.0,Sa
151.63,916.99,Sa_high
151.65,288.2,Ga2
151.74,812.19,Sa_high
151.77,393.0,Da2
151.86,288.2,Ga2
151.93,916.99,Sa_high
151.97,288.2,Ga2
152.11,916.99,Sa_high
152.16,393.0,Da2
152.21,288.2,Ga2
152.28,916.99,Sa_high
152.32,288.2,Ga2
152.39,393.0,Da2
152.42,916.99,Sa_high
152.44,393.0,Da2
152.51,916.99,Sa_high
152.53,366.8,Pa
152.56,393.0,Da2
152.58,340.6,Ma2
152.88,524.0,Sa_high
152.9,262.0,Ri1
152.95,340.6,Ma2
153.21,524.0,Sa_high
153.23,340.6,Ma2
153.32,262.0,Ri1
153.39,340.6,Ma2
153.55,262.0,Ri1
153.65,393.0,Da2
153.67,916.99,Sa_high
153.74,393.0,Da2
153.79,916.99,Sa_high
153.9,288.2,Ga2
153.95,916.99,Sa_high
153.99,366.8,Pa
154.02,340.6,Ma2
154.41,471.6,Sa_high
154.64,314.4,Ma1
154.67,393.0,Da2
154.71,131.0,Sa
154.97,628.79,Sa_high
155.16,131.0,Sa
155.81,524.0,Sa_high
155.88,340.6,Ma2
155.99,524.0,Sa_high
156.06,340.6,Ma2
156.15,524.0,Sa_high
156.32,288.2,Ga2
156.36,524.0,Sa_high
156.46,288.2,Ga2
156.5,340.6,Ma2
156.53,524.0,Sa_high
156.6,288.2,Ga2
156.62,340.6,Ma2
156.64,524.0,Sa_high
156.8,262.0,Ri1
156.83,524.0,Sa_high
156.87,288.2,Ga2
156.94,524.0,Sa_high
157.06,288.2,Ga2
157.27,262.0,Ri1
157.38,602.6,Sa_high
157.43,262.0,Ri1
157.5,471.6,Sa_high
157.69,288.2,Ga2
157.87,314.4,Ma1
157.9,471.6,Sa_high
158.2,340.6,Ma2
158.5,1079.51,Sa_high
158.57,366.8,Pa
158.62,393.0,Da2
158.75,471.6,Sa_high
158.82,209.6,Sa
158.85,288.2,Ga2
158.87,393.0,Da2
158.89,131.0,Sa
159.15,628.79,Sa_high
159.92,209.6,Sa
160.03,969.39,Sa_high
160.38,104.8,Sa
160.45,340.6,Ma2
160.5,104.8,Sa
160.52,864.59,Sa_high
160.57,104.8,Sa
160.59,340.6,Ma2
160.64,104.8,Sa
160.66,838.39,Sa_high
160.68,340.6,Ma2
160.73,366.8,Pa
160.75,393.0,Da2
160.8,812.19,Sa_high
162.17,104.8,Sa
162.19,1022.73,Sa_high
162.59,104.8,Sa
162.66,340.6,Ma2
162.75,1304.27,Sa_high
164.56,104.8,Sa
164.58,1079.51,Sa_high
164.79,104.8,Sa
164.84,1079.51,Sa_high
164.98,340.6,Ma2
165.02,1079.51,Sa_high
166.86,104.8,Sa
167.07,838.39,Sa_high
167.11,104.8,Sa
167.14,864.59,Sa_high
168.62,104.8,Sa
168.74,1269.51,Sa_high
168.99,104.8,Sa
169.16,1304.27,Sa_high
171.22,104.8,Sa
171.25,1492.93,Sa_high
171.29,104.8,Sa
171.32,1533.82,Sa_high
171.41,104.8,Sa
171.43,1618.99,Sa_high
172.87,104.8,Sa
174.41,288.2,Ga2
174.43,131.0,Sa
174.94,393.0,Da2
175.01,104.8,Sa
175.15,262.0,Ri1
175.43,104.8,Sa
175.5,262.0,Ri1
175.54,183.4,Sa
175.61,785.99,Sa_high
175.68,183.4,Sa
175.73,785.99,Sa_high
175.78,183.4,Sa
175.84,812.19,Sa_high
175.89,183.4,Sa
175.96,812.19,Sa_high
176.08,157.2,Sa
176.12,602.6,Sa_high
176.33,157.2,Sa
176.36,1202.72,Sa_high
176.4,157.2,Sa
176.43,733.59,Sa_high
176.59,131.0,Sa
176.75,524.0,Sa_high
176.8,131.0,Sa
176.82,524.0,Sa_high
176.94,131.0,Sa
176.96,1079.51,Sa_high
177.12,104.8,Sa
177.24,471.6,Sa_high
177.42,104.8,Sa
177.47,524.0,Sa_high
177.84,393.0,Da2
178.05,183.4,Sa
178.1,314.4,Ma1
178.17,393.0,Da2
178.19,314.4,Ma1
178.21,157.2,Sa
178.26,393.0,Da2
178.33,157.2,Sa
178.49,288.2,Ga2
178.54,393.0,Da2
178.56,157.2,Sa
178.61,288.2,Ga2
178.63,1202.72,Sa_high
178.65,288.2,Ga2
178.68,812.19,Sa_high
178.7,288.2,Ga2
178.75,131.0,Sa
179.19,393.0,Da2
179.3,104.8,Sa
179.79,524.0,Sa_high
179.91,183.4,Sa
179.93,1269.51,Sa_high
179.98,183.4,Sa
180.0,524.0,Sa_high
180.4,157.2,Sa
180.42,969.39,Sa_high
180.88,393.0,Da2
180.91,524.0,Sa_high
181.09,131.0,Sa
181.14,524.0,Sa_high
181.91,419.2,Ni2
181.93,393.0,Da2
181.95,628.79,Sa_high
182.07,393.0,Da2
182.09,628.79,Sa_high
182.14,366.8,Pa
182.18,602.6,Sa_high
182.21,340.6,Ma2
182.35,1079.51,Sa_high
182.37,340.6,Ma2
182.39,916.99,Sa_high
182.44,340.6,Ma2
182.49,916.99,Sa_high
182.53,288.2,Ga2
182.81,340.6,Ma2
182.86,602.6,Sa_high
182.88,340.6,Ma2
182.93,602.6,Sa_high
183.02,288.2,Ga2
183.04,890.79,Sa_high
183.3,235.8,Sa
183.34,262.0,Ri1
183.44,524.0,Sa_high
183.65,340.6,Ma2
183.74,497.8,Sa_high
183.83,340.6,Ma2
183.86,497.8,Sa_high
183.95,366.8,Pa
183.99,104.8,Sa
184.09,393.0,Da2
184.27,471.6,Sa_high
184.3,393.0,Da2
184.32,419.2,Ni2
184.51,340.6,Ma2
184.6,445.4,Ni3
184.74,524.0,Sa_high
184.92,445.4,Ni3
184.97,524.0,Sa_high
185.16,288.2,Ga2
185.18,471.6,Sa_high
185.6,314.4,Ma1
185.62,628.79,Sa_high
185.67,314.4,Ma1
185.69,235.8,Sa
185.81,340.6,Ma2
185.88,497.8,Sa_high
185.92,340.6,Ma2
185.97,497.8,Sa_high
186.11,366.8,Pa
186.2,393.0,Da2
186.22,104.8,Sa
186.27,393.0,Da2
186.36,471.6,Sa_high
186.5,104.8,Sa
186.53,419.2,Ni2
186.64,864.59,Sa_high
186.67,419.2,Ni2
186.78,340.6,Ma2
186.8,104.8,Sa
186.83,445.4,Ni3
186.87,524.0,Sa_high
187.76,314.4,Ma1
187.78,524.0,Sa_high
187.85,131.0,Sa
187.94,393.0,Da2
187.99,471.6,Sa_high
188.01,393.0,Da2
188.08,131.0,Sa
188.13,471.6,Sa_high
188.17,104.8,Sa
188.27,393.0,Da2
188.31,78.6,Sa
188.43,393.0,Da2
188.45,366.8,Pa
188.48,340.6,Ma2
188.5,366.8,Pa
