Raga,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
Vijayollāsini,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0
Māyāmāḻavagouḻai,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Ardhradesi,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Bhāvini,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Bowli,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Bowli Rāmakriya,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Chāruvardhani,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1
Chāyagowla,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Chandrachooda,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Deshyagowla,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
Devaranji,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
Ekakshari,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Ghanasindhu,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Gowla,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Gowlipantu,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Gowri,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Gummakāmbhoji,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
Gundakriya,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Gurjari,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Jaganmohini,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Kalyānakesari,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Kannadabangāla,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Karnātaka Sāranga,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Lalitā,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Lalitapanchamam,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Mālavakurinji,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
Mālavapanchamam,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Mārgadesi,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Malahari,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Mallikavasantam,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Mangalakaishiki,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
Manolayam,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Maruva,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
Mechabowli,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
Megharanjani,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Nadanamakriya,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1
Pādi,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
